,Nature,HP/Atk/Def/SpA/SpD/Spe,UsePercentage,Pokemon
442,Modest,244/0/4/252/4/4,7.960%,Blastoise
443,Modest,180/0/4/108/148/68,5.407%,Blastoise
444,Modest,244/0/4/204/52/4,5.211%,Blastoise
445,Modest,244/0/0/244/0/20,4.242%,Blastoise
446,Modest,252/0/44/196/12/4,3.610%,Blastoise
447,Modest,244/0/0/252/12/0,2.637%,Blastoise
448,Modest,156/0/4/196/4/148,2.322%,Blastoise
449,Modest,252/0/0/252/4/0,2.259%,Blastoise
450,Modest,148/0/4/204/4/148,2.153%,Blastoise
451,Modest,148/0/0/252/0/108,2.069%,Blastoise
452,Modest,140/0/4/252/4/108,2.062%,Blastoise
453,Modest,172/0/4/212/4/116,1.821%,Blastoise
454,Modest,252/0/0/252/0/0,1.768%,Blastoise
455,Modest,244/0/28/116/36/84,1.755%,Blastoise
456,Modest,252/0/0/252/0/4,1.669%,Blastoise
457,Modest,244/0/4/140/4/116,1.198%,Blastoise
458,Quiet,252/0/4/252/0/0,1.194%,Blastoise
459,Calm,244/0/4/132/12/116,0.993%,Blastoise
460,Timid,4/0/0/252/0/252,11.488%,Venusaur
461,Modest,172/0/196/44/4/92,8.301%,Venusaur
462,Modest,156/0/0/252/0/100,8.040%,Venusaur
463,Modest,188/0/148/76/4/92,7.341%,Venusaur
464,Modest,4/0/0/252/0/252,6.755%,Venusaur
465,Modest,0/0/0/252/4/252,6.685%,Venusaur
466,Timid,0/0/0/252/4/252,6.602%,Venusaur
467,Modest,148/0/4/244/12/100,3.082%,Venusaur
468,Modest,156/0/52/76/12/212,2.306%,Venusaur
469,Timid,132/0/44/76/4/252,2.231%,Venusaur
470,Modest,196/0/172/0/0/140,2.155%,Venusaur
471,Modest,156/0/4/236/12/100,1.973%,Venusaur
472,Modest,92/0/4/252/4/156,1.615%,Venusaur
473,Quiet,252/0/4/252/0/0,1.608%,Venusaur
474,Modest,156/0/44/156/4/148,1.587%,Venusaur
475,Modest,188/0/180/44/4/92,1.537%,Venusaur
476,Timid,100/0/0/156/0/252,1.361%,Venusaur
477,Modest,156/0/4/244/12/92,1.338%,Venusaur
478,Bold,100/0/132/124/12/140,1.162%,Venusaur
479,Timid,0/0/4/252/0/252,1.088%,Venusaur
480,Relaxed,252/0/252/0/4/0,21.928%,Ferrothorn
481,Impish,252/4/156/0/76/20,11.063%,Ferrothorn
482,Impish,252/188/4/0/60/4,8.113%,Ferrothorn
483,Brave,252/252/0/0/4/0,6.476%,Ferrothorn
484,Relaxed,244/0/180/0/84/0,3.863%,Ferrothorn
485,Brave,228/252/0/0/28/0,3.178%,Ferrothorn
486,Relaxed,252/0/84/0/172/0,2.864%,Ferrothorn
487,Relaxed,252/0/156/0/100/0,2.645%,Ferrothorn
488,Bold,252/0/148/0/108/0,2.580%,Ferrothorn
489,Impish,252/0/172/0/84/0,2.568%,Ferrothorn
490,Bold,252/0/76/4/116/60,2.422%,Ferrothorn
491,Brave,252/252/4/0/0/0,2.316%,Ferrothorn
492,Bold,212/0/156/0/140/0,1.833%,Ferrothorn
493,Brave,252/44/84/0/124/0,1.716%,Ferrothorn
494,Relaxed,252/0/68/0/188/0,1.600%,Ferrothorn
495,Relaxed,252/160/68/0/28/0,1.331%,Ferrothorn
496,Impish,212/188/4/0/100/4,1.297%,Ferrothorn
497,Brave,252/124/0/0/132/0,1.227%,Ferrothorn
498,Impish,252/0/252/0/4/0,1.091%,Ferrothorn
499,Sassy,252/0/68/0/188/0,1.040%,Ferrothorn
500,Jolly,252/0/4/0/0/252,16.158%,Ditto
501,Sassy,252/0/4/0/252/0,10.884%,Ditto
502,Relaxed,252/0/252/0/4/0,9.930%,Ditto
503,Impish,252/0/252/0/0/4,8.275%,Ditto
504,Timid,252/0/0/0/0/252,6.285%,Ditto
505,Hardy,252/0/0/0/252/0,5.589%,Ditto
506,Timid,252/0/0/0/4/252,5.295%,Ditto
507,Impish,252/0/124/0/0/132,4.839%,Ditto
508,Hardy,252/0/0/0/0/0,4.105%,Ditto
509,Jolly,252/0/28/0/0/228,2.784%,Ditto
510,Careful,252/0/4/0/252/0,2.258%,Ditto
511,Timid,252/0/4/0/0/252,2.168%,Ditto
512,Timid,252/0/0/4/0/252,2.081%,Ditto
513,Relaxed,252/0/252/0/0/0,2.060%,Ditto
514,Jolly,164/4/76/0/12/252,2.039%,Ditto
515,Sassy,252/0/0/0/252/0,1.947%,Ditto
516,Jolly,252/0/0/0/4/252,1.693%,Ditto
517,Sassy,252/0/0/4/252/0,1.428%,Ditto
518,Jolly,252/4/0/0/0/252,1.254%,Ditto
519,Timid,252/0/44/0/0/212,1.178%,Ditto
520,Jolly,0/252/0/0/4/252,37.570%,Urshifu Single Strike Style
521,Jolly,4/252/0/0/0/252,14.941%,Urshifu Single Strike Style
522,Jolly,0/252/4/0/0/252,13.120%,Urshifu Single Strike Style
523,Adamant,0/252/0/0/4/252,7.925%,Urshifu Single Strike Style
524,Adamant,4/252/0/0/0/252,6.161%,Urshifu Single Strike Style
525,Adamant,36/212/4/0/4/252,3.580%,Urshifu Single Strike Style
526,Jolly,0/252/0/0/0/252,3.041%,Urshifu Single Strike Style
527,Jolly,4/236/12/0/4/252,2.619%,Urshifu Single Strike Style
528,Brave,252/252/0/0/4/0,2.413%,Urshifu Single Strike Style
529,Adamant,0/252/4/0/0/252,2.178%,Urshifu Single Strike Style
530,Adamant,252/252/0/0/4/0,1.357%,Urshifu Single Strike Style
531,Jolly,0/252/0/0/6/252,1.086%,Urshifu Single Strike Style
532,Adamant,28/236/4/0/68/172,0.734%,Urshifu Single Strike Style
533,Brave,252/156/100/0/0/0,0.529%,Urshifu Single Strike Style
534,Jolly,0/124/0/0/132/252,0.384%,Urshifu Single Strike Style
535,Adamant,0/252/0/0/84/172,0.328%,Urshifu Single Strike Style
536,Adamant,172/156/0/0/0/180,0.308%,Urshifu Single Strike Style
537,Adamant,0/252/0/0/0/252,0.276%,Urshifu Single Strike Style
538,Adamant,172/252/4/0/4/76,0.274%,Urshifu Single Strike Style
539,Adamant,244/252/4/0/4/4,0.236%,Urshifu Single Strike Style
540,Modest,100/0/196/44/12/156,35.906%,Xerneas
541,Modest,60/0/220/68/4/156,7.362%,Xerneas
542,Timid,60/0/4/180/12/252,7.137%,Xerneas
543,Modest,60/0/4/68/12/156,6.205%,Xerneas
544,Timid,4/0/0/252/0/252,5.397%,Xerneas
545,Modest,180/0/4/68/4/252,4.340%,Xerneas
546,Timid,108/0/4/196/4/196,3.101%,Xerneas
547,Modest,252/0/92/4/4/156,2.998%,Xerneas
548,Timid,0/0/0/244/12/252,2.666%,Xerneas
549,Modest,252/0/92/0/0/164,2.191%,Xerneas
550,Timid,92/0/0/164/0/252,1.822%,Xerneas
551,Modest,92/0/0/164/0/252,1.485%,Xerneas
552,Timid,0/0/0/252/4/252,1.411%,Xerneas
553,Modest,252/0/0/100/0/156,1.281%,Xerneas
554,Modest,140/0/36/156/12/164,1.000%,Xerneas
555,Timid,52/0/4/252/4/196,0.949%,Xerneas
556,Timid,0/0/4/252/0/252,0.902%,Xerneas
557,Modest,252/0/0/20/0/236,0.883%,Xerneas
558,Timid,44/0/4/196/12/252,0.829%,Xerneas
559,Timid,76/0/28/196/20/188,0.819%,Xerneas
560,Modest,108/0/4/236/44/116,12.417%,Dialga
561,Modest,4/0/0/252/0/252,9.734%,Dialga
562,Modest,252/0/0/252/4/0,7.420%,Dialga
563,Modest,124/0/0/252/0/132,7.404%,Dialga
564,Quiet,252/0/0/252/4/0,7.144%,Dialga
565,Timid,0/0/0/252/4/252,4.659%,Dialga
566,Modest,20/0/0/252/0/236,2.988%,Dialga
567,Modest,108/0/4/156/12/228,2.972%,Dialga
568,Modest,108/0/0/252/0/148,2.491%,Dialga
569,Modest,236/0/4/252/4/12,2.240%,Dialga
570,Timid,4/0/0/252/0/252,2.161%,Dialga
571,Modest,252/0/0/236/0/20,2.037%,Dialga
572,Modest,204/0/0/236/0/68,1.801%,Dialga
573,Modest,188/0/0/252/0/68,1.521%,Dialga
574,Modest,0/0/0/252/4/252,1.425%,Dialga
575,Quiet,252/0/4/252/0/0,1.207%,Dialga
576,Modest,60/0/4/236/14/196,1.163%,Dialga
577,Modest,244/0/0/252/0/12,1.116%,Dialga
578,Modest,108/0/4/252/4/140,1.105%,Dialga
579,Modest,236/0/0/252/0/20,1.027%,Dialga
580,Adamant,0/252/4/0/0/252,34.991%,Shedinja
581,Lonely,0/252/0/0/0/252,21.665%,Shedinja
582,Lonely,0/252/0/0/4/252,11.691%,Shedinja
583,Lonely,0/252/0/4/0/252,9.665%,Shedinja
584,Jolly,0/252/4/0/0/252,4.200%,Shedinja
585,Hasty,4/252/0/0/0/252,3.775%,Shedinja
586,Jolly,0/252/0/0/0/252,3.665%,Shedinja
587,Adamant,0/252/0/0/0/252,3.354%,Shedinja
588,Naughty,0/252/0/4/0/252,1.433%,Shedinja
589,Lonely,4/252/0/0/0/252,1.212%,Shedinja
590,Adamant,0/252/0/0/4/252,1.102%,Shedinja
591,Lonely,0/252/0/0/0/228,1.049%,Shedinja
592,Lonely,0/252/0/28/0/228,0.456%,Shedinja
593,Hasty,0/252/0/0/4/252,0.423%,Shedinja
594,Hasty,0/252/0/4/0/252,0.372%,Shedinja
595,Adamant,0/252/0/4/0/252,0.221%,Shedinja
596,Jolly,0/252/0/4/0/252,0.191%,Shedinja
597,Adamant,4/252/0/0/0/252,0.118%,Shedinja
598,Mild,0/252/0/252/0/4,0.111%,Shedinja
599,Hasty,0/252/0/0/0/252,0.086%,Shedinja
600,Jolly,4/252/0/0/0/252,11.503%,Solgaleo
601,Adamant,4/252/0/0/0/252,6.944%,Solgaleo
602,Adamant,212/180/4/0/84/28,5.395%,Solgaleo
603,Adamant,132/180/4/0/84/108,4.656%,Solgaleo
604,Adamant,252/252/0/0/0/4,4.106%,Solgaleo
605,Jolly,0/252/0/0/4/252,2.974%,Solgaleo
606,Jolly,84/20/4/0/196/204,2.420%,Solgaleo
607,Jolly,84/156/4/0/20/244,2.392%,Solgaleo
608,Adamant,20/228/4/0/4/252,2.157%,Solgaleo
609,Adamant,100/196/20/0/84/108,2.139%,Solgaleo
610,Adamant,236/180/4/0/4/84,1.843%,Solgaleo
611,Adamant,4/252/4/0/244/4,1.810%,Solgaleo
612,Adamant,100/252/20/0/84/52,1.800%,Solgaleo
613,Adamant,252/252/0/0/4/0,1.790%,Solgaleo
614,Adamant,20/180/4/0/244/60,1.717%,Solgaleo
615,Adamant,212/100/36/0/160/0,1.699%,Solgaleo
616,Adamant,4/252/4/0/4/244,1.653%,Solgaleo
617,Jolly,20/236/0/0/0/252,1.520%,Solgaleo
618,Adamant,4/180/4/0/68/252,1.345%,Solgaleo
619,Jolly,0/252/0/0/0/252,1.325%,Solgaleo
620,Sassy,252/0/4/0/252/0,25.492%,Dusclops
621,Sassy,252/0/20/0/236/0,22.492%,Dusclops
622,Sassy,252/0/100/0/156/0,6.527%,Dusclops
623,Sassy,252/0/116/0/140/0,5.355%,Dusclops
624,Relaxed,252/0/76/0/180/0,4.658%,Dusclops
625,Sassy,252/4/0/0/252/0,3.530%,Dusclops
626,Sassy,252/0/164/0/92/0,3.181%,Dusclops
627,Sassy,252/0/172/0/84/0,2.919%,Dusclops
628,Calm,252/0/4/0/252/0,2.914%,Dusclops
629,Relaxed,252/0/28/0/228/0,2.749%,Dusclops
630,Sassy,252/0/108/0/148/0,1.999%,Dusclops
631,Sassy,252/0/92/0/164/0,1.907%,Dusclops
632,Calm,252/0/100/0/156/0,1.881%,Dusclops
633,Relaxed,252/0/108/0/148/0,1.800%,Dusclops
634,Sassy,252/0/140/0/116/0,1.314%,Dusclops
635,Sassy,252/0/76/0/180/0,0.894%,Dusclops
636,Sassy,252/0/156/0/100/0,0.838%,Dusclops
637,Relaxed,252/0/92/0/164/0,0.678%,Dusclops
638,Calm,252/0/20/0/236/0,0.595%,Dusclops
639,Sassy,252/0/0/0/196/0,0.508%,Dusclops
640,Quiet,252/0/0/252/4/0,32.639%,Torkoal
641,Quiet,252/0/4/252/0/0,24.995%,Torkoal
642,Quiet,236/0/0/252/20/0,10.830%,Torkoal
643,Relaxed,236/0/76/116/76/0,7.065%,Torkoal
644,Bold,244/0/156/0/108/0,4.220%,Torkoal
645,Calm,244/0/28/0/236/0,3.592%,Torkoal
646,Sassy,244/0/84/0/180/0,3.252%,Torkoal
647,Modest,4/0/252/252/0/0,3.044%,Torkoal
648,Sassy,244/0/28/0/236/0,1.348%,Torkoal
649,Quiet,248/0/0/252/8/0,1.262%,Torkoal
650,Quiet,252/0/0/20/236/0,1.218%,Torkoal
651,Modest,252/0/0/252/4/0,1.038%,Torkoal
652,Relaxed,252/0/252/0/4/0,0.916%,Torkoal
653,Bold,244/0/12/0/252/0,0.447%,Torkoal
654,Relaxed,236/0/252/0/20/0,0.385%,Torkoal
655,Bold,252/0/252/4/0/0,0.367%,Torkoal
656,Modest,252/0/52/116/84/4,0.358%,Torkoal
657,Sassy,252/4/0/0/252/0,0.270%,Torkoal
658,Relaxed,244/0/124/4/128/4,0.268%,Torkoal
659,Quiet,4/0/252/252/0/0,0.237%,Torkoal
660,Timid,4/0/0/252/0/252,55.968%,Kingdra
661,Jolly,4/252/0/0/0/252,24.948%,Kingdra
662,Modest,196/0/4/252/4/52,4.814%,Kingdra
663,Timid,0/0/0/252/4/252,3.299%,Kingdra
664,Timid,68/0/12/252/4/172,2.179%,Kingdra
665,Lonely,0/252/0/4/0/252,1.501%,Kingdra
666,Timid,68/0/4/252/4/180,1.190%,Kingdra
667,Modest,200/0/0/252/4/52,1.037%,Kingdra
668,Timid,20/0/4/252/4/228,0.976%,Kingdra
669,Careful,244/4/4/0/196/60,0.962%,Kingdra
670,Modest,4/0/0/252/0/252,0.728%,Kingdra
671,Modest,0/0/0/252/4/252,0.675%,Kingdra
672,Timid,76/0/0/252/0/180,0.309%,Kingdra
673,Timid,20/0/4/244/4/236,0.266%,Kingdra
674,Modest,148/0/4/252/4/100,0.175%,Kingdra
675,Jolly,84/252/0/0/0/172,0.156%,Kingdra
676,Timid,0/0/4/252/0/252,0.109%,Kingdra
677,Adamant,4/252/0/0/0/252,0.086%,Kingdra
678,Adamant,84/252/0/0/0/172,0.063%,Kingdra
679,Adamant,0/252/4/0/0/252,0.062%,Kingdra
680,Timid,252/0/4/0/0/252,11.488%,Raichu
681,Timid,252/0/0/4/0/252,10.283%,Raichu
682,Timid,252/0/0/0/4/252,8.723%,Raichu
683,Hasty,0/4/0/252/0/252,8.123%,Raichu
684,Timid,244/0/4/4/4/252,6.542%,Raichu
685,Jolly,4/0/0/0/252/252,5.332%,Raichu
686,Timid,0/0/0/252/4/252,4.844%,Raichu
687,Timid,4/0/0/252/0/252,4.758%,Raichu
688,Jolly,28/12/204/0/12/252,4.506%,Raichu
689,Jolly,4/252/0/0/0/252,4.308%,Raichu
690,Timid,0/0/4/252/0/252,3.875%,Raichu
691,Timid,28/0/228/0/0/252,3.450%,Raichu
692,Jolly,108/4/108/0/108/180,3.337%,Raichu
693,Hasty,252/0/0/4/0/252,2.390%,Raichu
694,Timid,60/0/252/4/12/180,2.142%,Raichu
695,Jolly,252/0/4/0/0/252,1.904%,Raichu
696,Jolly,0/252/0/0/4/252,1.727%,Raichu
697,Timid,124/0/52/76/4/252,1.677%,Raichu
698,Timid,188/0/4/4/60/252,1.603%,Raichu
699,Hasty,4/0/0/252/0/252,1.411%,Raichu
700,Timid,252/0/0/4/0/252,22.376%,Weezing
701,Bold,252/0/100/4/140/12,10.687%,Weezing
702,Timid,148/0/0/0/108/252,10.597%,Weezing
703,Jolly,252/0/0/0/4/252,8.039%,Weezing
704,Timid,252/0/4/0/0/252,8.029%,Weezing
705,Calm,252/0/0/4/0/252,6.742%,Weezing
706,Timid,252/0/0/0/4/252,6.428%,Weezing
707,Calm,180/0/0/0/76/252,5.036%,Weezing
708,Calm,252/0/4/0/252/0,2.622%,Weezing
709,Calm,252/0/76/0/180/0,1.742%,Weezing
710,Calm,252/0/44/4/196/12,1.422%,Weezing
711,Timid,252/0/4/44/4/200,1.186%,Weezing
712,Bold,252/0/4/0/252/0,1.162%,Weezing
713,Calm,252/0/0/4/252/0,1.128%,Weezing
714,Bold,252/0/36/116/100/4,0.942%,Weezing
715,Calm,252/0/100/0/148/4,0.854%,Weezing
716,Timid,228/0/4/4/36/236,0.790%,Weezing
717,Bold,252/0/252/0/4/0,0.750%,Weezing
718,Timid,4/0/0/252/0/252,0.748%,Weezing
719,Bold,220/0/76/4/204/4,0.666%,Weezing
720,Jolly,4/244/4/0/4/252,38.500%,Entei
721,Jolly,0/252/0/0/4/252,11.874%,Entei
722,Jolly,68/132/4/0/52/252,10.688%,Entei
723,Adamant,0/252/0/0/4/252,7.832%,Entei
724,Jolly,4/252/0/0/0/252,4.754%,Entei
725,Jolly,4/188/4/0/60/252,3.424%,Entei
726,Adamant,116/156/4/0/4/228,2.803%,Entei
727,Adamant,4/252/0/0/0/252,1.978%,Entei
728,Jolly,84/4/4/0/164/252,1.964%,Entei
729,Jolly,4/164/28/0/60/252,1.868%,Entei
730,Adamant,252/252/0/0/0/4,1.261%,Entei
731,Adamant,4/252/4/0/20/228,1.254%,Entei
732,Jolly,180/4/4/0/68/252,1.090%,Entei
733,Jolly,188/12/20/0/36/252,0.769%,Entei
734,Jolly,140/4/4/0/108/252,0.725%,Entei
735,Jolly,244/4/4/0/76/180,0.661%,Entei
736,Jolly,28/172/36/0/20/252,0.651%,Entei
737,Jolly,140/4/76/0/36/252,0.621%,Entei
738,Adamant,0/252/0/0/0/252,0.586%,Entei
739,Adamant,12/252/4/0/4/236,0.552%,Entei
740,Modest,252/0/52/180/4/20,31.410%,Lunala
741,Modest,4/0/0/252/0/252,6.976%,Lunala
742,Timid,124/0/4/164/4/212,5.605%,Lunala
743,Modest,92/0/60/100/4/252,5.236%,Lunala
744,Modest,252/0/148/108/0/0,4.038%,Lunala
745,Timid,0/0/0/252/4/252,3.784%,Lunala
746,Modest,204/0/76/108/100/20,3.123%,Lunala
747,Modest,220/0/20/252/4/12,3.036%,Lunala
748,Modest,252/0/0/252/4/0,2.816%,Lunala
749,Modest,244/0/44/100/100/20,2.686%,Lunala
750,Modest,252/0/0/196/0/60,2.655%,Lunala
751,Modest,252/0/4/252/0/0,2.545%,Lunala
752,Modest,212/0/4/100/116/76,2.455%,Lunala
753,Sassy,252/0/148/4/100/0,1.902%,Lunala
754,Modest,220/0/4/108/116/60,1.651%,Lunala
755,Modest,228/0/4/252/4/20,1.559%,Lunala
756,Modest,196/0/36/100/148/28,1.554%,Lunala
757,Quiet,252/0/0/252/4/0,1.393%,Lunala
758,Modest,212/0/116/180/0/0,1.339%,Lunala
759,Timid,4/0/4/244/4/252,1.053%,Lunala
760,Timid,4/0/0/252/0/252,41.772%,White Kyurem
761,Modest,4/0/0/252/0/252,11.506%,White Kyurem
762,Timid,0/0/4/252/0/252,8.360%,White Kyurem
763,Timid,12/0/20/244/4/228,4.258%,White Kyurem
764,Timid,68/0/60/116/12/252,3.629%,White Kyurem
765,Timid,0/0/0/252/4/252,3.544%,White Kyurem
766,Modest,20/0/0/236/0/252,3.226%,White Kyurem
767,Modest,0/0/4/252/0/252,2.599%,White Kyurem
768,Timid,0/0/44/236/0/228,2.198%,White Kyurem
769,Timid,132/0/0/212/0/164,2.100%,White Kyurem
770,Modest,12/0/0/244/0/252,1.705%,White Kyurem
771,Modest,4/0/4/228/20/252,1.389%,White Kyurem
772,Modest,252/0/4/252/0/0,1.326%,White Kyurem
773,Modest,140/0/0/236/0/132,1.103%,White Kyurem
774,Timid,28/0/0/252/0/228,1.079%,White Kyurem
775,Modest,12/0/4/236/4/252,0.903%,White Kyurem
776,Modest,100/0/252/156/0/0,0.808%,White Kyurem
777,Modest,172/0/100/236/0/0,0.610%,White Kyurem
778,Modest,212/0/0/252/0/44,0.534%,White Kyurem
779,Modest,0/0/0/252/4/252,0.468%,White Kyurem
780,Quiet,252/0/4/252/0/0,20.740%,Tapu Fini
781,Modest,228/0/36/196/12/36,8.027%,Tapu Fini
782,Bold,252/0/36/4/60/156,7.264%,Tapu Fini
783,Bold,252/0/244/0/12/0,6.829%,Tapu Fini
784,Bold,252/0/36/196/12/12,5.900%,Tapu Fini
785,Modest,252/0/4/252/0/0,5.712%,Tapu Fini
786,Calm,244/0/100/4/156/4,4.815%,Tapu Fini
787,Modest,228/0/4/196/4/76,3.059%,Tapu Fini
788,Modest,252/0/0/196/0/60,3.028%,Tapu Fini
789,Bold,244/0/196/4/60/4,2.476%,Tapu Fini
790,Bold,252/0/100/0/0/156,1.654%,Tapu Fini
791,Bold,252/0/148/84/20/4,1.650%,Tapu Fini
792,Bold,252/0/156/100/0/0,1.139%,Tapu Fini
793,Bold,236/0/116/84/4/68,1.099%,Tapu Fini
794,Bold,244/0/140/60/20/44,1.078%,Tapu Fini
795,Bold,252/0/252/0/0/4,1.056%,Tapu Fini
796,Modest,252/0/36/124/28/68,0.951%,Tapu Fini
797,Modest,244/0/4/252/4/4,0.853%,Tapu Fini
798,Modest,252/0/60/196/0/0,0.756%,Tapu Fini
799,Modest,252/0/20/220/12/4,0.708%,Tapu Fini
800,Careful,252/0/4/0/252/0,32.993%,Sableye
801,Jolly,252/0/0/0/4/252,19.829%,Sableye
802,Careful,252/4/0/0/252/0,7.736%,Sableye
803,Relaxed,220/0/220/0/68/0,5.769%,Sableye
804,Careful,236/0/116/0/156/0,3.872%,Sableye
805,Impish,252/0/252/0/4/0,3.595%,Sableye
806,Careful,252/0/124/0/132/0,3.071%,Sableye
807,Bold,252/0/252/0/4/0,2.857%,Sableye
808,Calm,248/0/124/0/132/0,2.600%,Sableye
809,Careful,252/0/68/0/188/0,2.493%,Sableye
810,Impish,252/0/68/0/188/0,2.035%,Sableye
811,Jolly,124/124/4/0/4/252,2.035%,Sableye
812,Careful,252/0/60/0/196/0,1.131%,Sableye
813,Calm,252/0/4/0/252/0,0.849%,Sableye
814,Impish,252/0/100/0/156/0,0.847%,Sableye
815,Impish,252/0/196/0/60/0,0.796%,Sableye
816,Timid,252/0/0/4/0/252,0.752%,Sableye
817,Impish,252/4/252/0/0/0,0.667%,Sableye
818,Sassy,252/0/4/0/252/0,0.649%,Sableye
819,Bold,244/0/228/0/36/0,0.590%,Sableye
820,Jolly,4/252/0/0/0/252,51.479%,Urshifu Rapid Strike Style
821,Jolly,0/252/0/0/4/252,14.173%,Urshifu Rapid Strike Style
822,Jolly,108/132/12/0/4/252,8.278%,Urshifu Rapid Strike Style
823,Adamant,44/196/12/0/4/252,4.744%,Urshifu Rapid Strike Style
824,Jolly,0/252/4/0/0/252,3.953%,Urshifu Rapid Strike Style
825,Adamant,4/252/0/0/0/252,3.518%,Urshifu Rapid Strike Style
826,Jolly,0/252/0/0/0/252,2.576%,Urshifu Rapid Strike Style
827,Adamant,0/252/0/0/4/252,2.339%,Urshifu Rapid Strike Style
828,Adamant,132/76/4/0/44/252,1.769%,Urshifu Rapid Strike Style
829,Jolly,4/252/28/0/12/212,1.191%,Urshifu Rapid Strike Style
830,Adamant,140/76/4/0/36/252,1.082%,Urshifu Rapid Strike Style
831,Jolly,4/244/4/0/4/252,1.082%,Urshifu Rapid Strike Style
832,Adamant,156/252/100/0/0/0,0.940%,Urshifu Rapid Strike Style
833,Hardy,4/252/0/0/0/252,0.637%,Urshifu Rapid Strike Style
834,Adamant,20/252/28/0/20/188,0.504%,Urshifu Rapid Strike Style
835,Jolly,6/252/0/0/0/252,0.473%,Urshifu Rapid Strike Style
836,Adamant,252/252/4/0/0/0,0.248%,Urshifu Rapid Strike Style
837,Adamant,76/252/0/0/0/180,0.195%,Urshifu Rapid Strike Style
838,Jolly,24/252/0/0/4/228,0.155%,Urshifu Rapid Strike Style
839,Adamant,204/252/12/0/20/20,0.104%,Urshifu Rapid Strike Style
840,Timid,4/0/0/252/0/252,58.317%,Tapu Lele
841,Timid,0/0/0/252/4/252,18.208%,Tapu Lele
842,Modest,60/0/4/252/4/188,11.136%,Tapu Lele
843,Timid,0/0/4/252/0/252,4.875%,Tapu Lele
844,Quiet,252/0/0/252/0/0,2.051%,Tapu Lele
845,Modest,28/0/0/252/0/228,1.891%,Tapu Lele
846,Timid,84/0/0/252/0/172,0.809%,Tapu Lele
847,Timid,28/0/4/252/4/220,0.614%,Tapu Lele
848,Modest,4/0/0/252/0/252,0.483%,Tapu Lele
849,Timid,44/0/4/4/252/204,0.276%,Tapu Lele
850,Bold,236/0/172/0/100/0,0.218%,Tapu Lele
851,Calm,4/0/0/252/252/0,0.210%,Tapu Lele
852,Modest,252/0/0/252/4/0,0.185%,Tapu Lele
853,Modest,0/0/4/252/0/252,0.124%,Tapu Lele
854,Timid,44/0/12/196/4/252,0.118%,Tapu Lele
855,Modest,0/0/0/252/4/252,0.083%,Tapu Lele
856,Timid,76/0/4/252/4/172,0.075%,Tapu Lele
857,Modest,100/0/0/156/0/252,0.070%,Tapu Lele
858,Timid,36/0/0/252/0/220,0.065%,Tapu Lele
859,Timid,76/0/0/180/0/252,0.037%,Tapu Lele
860,Jolly,4/252/0/0/0/252,7.913%,Mimikyu
861,Impish,244/0/164/0/100/0,6.760%,Mimikyu
862,Brave,252/252/4/0/0/0,6.553%,Mimikyu
863,Relaxed,252/0/236/0/20/0,4.943%,Mimikyu
864,Relaxed,252/0/252/0/4/0,3.835%,Mimikyu
865,Jolly,228/12/12/0/4/252,3.577%,Mimikyu
866,Relaxed,228/0/188/0/92/0,3.140%,Mimikyu
867,Impish,252/4/156/0/92/4,2.820%,Mimikyu
868,Adamant,252/180/4/0/12/60,2.764%,Mimikyu
869,Sassy,252/4/0/0/252/0,2.717%,Mimikyu
870,Careful,252/0/0/0/252/0,2.544%,Mimikyu
871,Adamant,4/252/0/0/0/252,2.544%,Mimikyu
872,Brave,252/252/0/0/4/0,2.251%,Mimikyu
873,Sassy,252/0/140/0/116/0,2.177%,Mimikyu
874,Impish,252/0/156/0/100/0,2.066%,Mimikyu
875,Relaxed,252/0/92/0/164/0,1.920%,Mimikyu
876,Impish,252/0/252/0/4/0,1.875%,Mimikyu
877,Impish,228/0/188/0/92/0,1.867%,Mimikyu
878,Adamant,252/252/0/0/4/0,1.840%,Mimikyu
879,Sassy,252/0/4/0/252/0,1.748%,Mimikyu
880,Timid,252/0/4/0/0/252,48.642%,Gothitelle
881,Timid,236/0/20/0/0/252,16.076%,Gothitelle
882,Calm,252/0/100/0/0/156,6.881%,Gothitelle
883,Careful,252/0/4/0/252/0,5.117%,Gothitelle
884,Sassy,252/0/4/0/252/0,3.813%,Gothitelle
885,Calm,236/0/84/76/92/20,2.693%,Gothitelle
886,Impish,252/4/108/0/108/36,2.450%,Gothitelle
887,Timid,252/0/0/0/4/252,1.367%,Gothitelle
888,Calm,252/0/0/4/252/0,1.364%,Gothitelle
889,Sassy,244/0/100/0/164/0,1.258%,Gothitelle
890,Bold,252/0/116/4/76/60,1.073%,Gothitelle
891,Jolly,252/4/0/0/0/252,1.017%,Gothitelle
892,Jolly,180/4/60/0/12/252,0.985%,Gothitelle
893,Careful,252/0/140/0/116/0,0.807%,Gothitelle
894,Bold,244/0/172/0/20/68,0.732%,Gothitelle
895,Careful,252/4/196/0/4/52,0.585%,Gothitelle
896,Calm,252/0/116/4/84/52,0.554%,Gothitelle
897,Sassy,252/0/196/0/60/0,0.451%,Gothitelle
898,Modest,0/0/4/252/252/0,0.384%,Gothitelle
899,Careful,252/4/0/0/252/0,0.348%,Gothitelle
900,Adamant,4/252/0/0/0/252,31.676%,Seismitoad
901,Adamant,0/252/0/0/4/252,23.896%,Seismitoad
902,Jolly,4/252/0/0/0/252,7.871%,Seismitoad
